"fecha","matricula_area","area_academica","periodo","año_y"
"2014-07-01","220","INGENIERIA DESARROLLO TECNOLOGICO PRODUCTIVO","2014-II","2014"
"2014-07-01","28"," CIENCIAS DE LA SALUD","2014-II","2014"
"2014-07-01","35","ESTOMATOLOGIA","2014-II","2014"
"2015-01-01","1396","CIENCIA Y TECNOLOGIA","2015-I","2015"
"2015-01-01","8136","SIN AREA","2015-I","2015"
"2015-01-01","4888","CIENCIAS DE LA EDUCACIÓN","2015-I","2015"
"2015-01-01","1832","CIENCIAS AGRÍCOLAS, PECUARIAS Y RECURSOS NATURALES","2015-I","2015"
"2015-01-01","4523","CIENCIAS SOCIALES","2015-I","2015"
"2015-01-01","1056","CIENCIAS Y ARTES DEL HÁBITAT","2015-I","2015"
"2015-01-01","7266","CIENCIAS ECONÓMICAS, FINANCIERAS Y ADMINISTRATIVAS","2015-I","2015"
"2015-01-01","1860","INGENIERIA DESARROLLO TECNOLOGICO PRODUCTIVO","2015-I","2015"
"2015-01-01","3492"," CIENCIAS DE LA SALUD","2015-I","2015"
"2015-01-01","1516","ESTOMATOLOGIA","2015-I","2015"
"2015-07-01","513","CIENCIAS DE LA EDUCACIÓN","2015-II","2015"
"2015-07-01","141","CIENCIAS AGRÍCOLAS, PECUARIAS Y RECURSOS NATURALES","2015-II","2015"
"2015-07-01","251","CIENCIAS SOCIALES","2015-II","2015"
"2015-07-01","156","CIENCIAS Y ARTES DEL HÁBITAT","2015-II","2015"
"2015-07-01","173","CIENCIAS ECONÓMICAS, FINANCIERAS Y ADMINISTRATIVAS","2015-II","2015"
"2015-07-01","215","INGENIERIA DESARROLLO TECNOLOGICO PRODUCTIVO","2015-II","2015"
"2015-07-01","37","ESTOMATOLOGIA","2015-II","2015"
"2015-07-01","211","CIENCIA Y TECNOLOGIA","2015-II","2015"
"2015-08-01","28"," CIENCIAS DE LA SALUD","2015-II","2015"
"2015-10-01","382","SIN AREA","2015-II","2015"
"fecha","matricula_area","area_academica","periodo","año_y"
"2016-02-01","1875","INGENIERIA DESARROLLO TECNOLOGICO PRODUCTIVO","2016-I","2016"
"2016-02-01","1854","CIENCIAS AGRÍCOLAS, PECUARIAS Y RECURSOS NATURALES","2016-I","2016"
"2016-02-01","3537"," CIENCIAS DE LA SALUD","2016-I","2016"
"2016-02-01","1587","CIENCIA Y TECNOLOGIA","2016-I","2016"
"2016-02-01","4899","CIENCIAS SOCIALES","2016-I","2016"
"2016-02-01","8830","SIN AREA","2016-I","2016"
